9147
1373	かきつけ	1
11777	かきまぜ	1
13518	かき合せ	1
12282	かぎっ	1
744	かく	64
9673	かくし	2
400	かくして	1
8181	かくす	3
12397	かくそ	1
6384	かくれ	1
5787	かくれる	1
765	かけ	50
778	かける	25
810	かこう	6
8621	かこつ	1
10840	かご	6
9266	かさ	9
9770	かさかさ	2
9459	かさね	1
2782	かさん	4
6167	かざら	1
3782	かし	3
7831	かしこ	4
10904	かしこまっ	3
6497	かしこまり	3
12296	かしこまる	1
3933	かしら	8
8548	かじ	1
12066	かじっ	2
12896	かす	2
12894	かすん	1
9227	かせ	2
4046	かた	5
13505	かたい	1
977	かたがた	1
4437	かたき	1
12312	かたく	2
11760	かたちづくっ	1
9566	かたどっ	1
4062	かたまっ	7
8358	かため	3
12150	かちかち	1
8103	かちり	1
1051	かっと	1
5672	かつ	3
1784	かつて	7
978	かな	3
10888	かなう	1
8723	かなり	1
8914	かに	1
1904	かね	17
7364	かねて	2
1419	かねる	7
5223	かの	11
567	かぶせ	3
13005	かぶっ	1
8216	かぶる	1
6085	かま	1
11872	かみさん	3
6062	かむ	2
6151	かめ	2
263	かも	130
1633	かよう	21
61	から	1773
8949	からい	1
10041	からかい	5
4242	からかう	16
12422	からかお	1
4715	からかっ	9
11830	からから	1
7177	からかわ	5
8950	からき	1
2193	からくっ	1
4303	からげ	2
7622	からげる	1
1679	からだ	10
5361	からまっ	1
12898	からり	1
12712	からん	1
9474	かる	3
4354	かれ	3
2053	かれこれ	1
5674	かろ	1
5870	かわし	1
2371	かわるがわる	1
459	かん	7
7072	かんかん	12
10	が	3762
8104	がい	3
10408	がかっ	1
577	がかり	3
4081	がくがく	1
9244	がさがさ	2
11373	がす	4
12096	がたい	1
3412	がたき	2
13535	がたつく	1
1723	がち	4
1305	がっ	24
11897	がばと	1
8640	がら	3
10692	がらがら	3
4201	がらり	4
11024	がり	2
8163	がりがり	4
696	がる	14
9455	がん	1
2208	き	30
3204	きい	7
11894	きか	2
4049	きかかっ	1
5375	きが	3
8764	きき	5
12145	ききつけ	1
5917	きく	11
13264	きさく	1
10762	きしゃご	2
9512	きせ	2
10135	きたない	8
10839	きたならしい	2
2802	きっ	3
1572	きっと	38
6746	きつけ	1
11635	きつける	1
2783	きの	3
7957	きのう	3
11571	きびし	1
13097	きびしい	1
7531	きまっ	8
9911	きめ	2
5149	きょう	1
12055	きら	1
1018	きらきら	3
1181	きり	8
9522	きる	6
9523	きれ	1
2981	ぎ	2
12266	ぎかけたるごとく	1
9611	ぎって	1
8975	ぎはしませんか	1
4429	ぎまさあね	1
8765	ぎゃあ	2
4577	ぎり	7
3762	ぎりかい	1
8720	ぎりかいと	1
8169	ぎりぎり	2
13580	ぎりご	1
6038	ぎりしか	1
8823	ぎりだったね	1
4830	ぎりですか	2
12159	ぎりなの	1
407	ぎりほとんど	1
11940	ぎれで	1
1589	く	25
12157	くう	2
11467	くく	1
9845	くぐっ	1
3886	くさくさ	2
622	くし	3
10972	くしゃくしゃ	1
5467	くすくす	7
9267	くずさ	1
12067	くずれ	1
10733	くせ	2
10454	くだけ	2
2252	くだら	1
8622	くだらない	1
8388	くちゃくちゃ	2
1163	くっ	10
11361	くっつい	1
12200	くどい	1
10924	くに	1
7039	くば	3
13487	くばり	1
4805	くべ	4
4813	くべる	1
8584	くら	3
192	くらい	265
13101	くらさ	1
10044	くらし	2
10789	くらす	1
2758	くらべ	1
5860	くらむ	2
4187	くらん	2
12778	くり	1
12545	くりゃる	1
538	くる	109
6641	くるくる	2
4038	くるしい	1
13006	くるまっ	1
7621	くるみ	2
2849	くるり	1
10466	くるん	4
473	くれ	84
217	くれる	27
2520	くれれ	5
4130	くれろ	3
7793	くん	3
8328	ぐいぐい	3
2670	ぐいと	7
2292	ぐうぐう	5
13132	ぐうと	1
4159	ぐずぐず	2
9359	ぐたぐた	1
3117	ぐっと	4
9146	ぐにゃり	1
13564	ぐにゃりと	1
1068	ぐべき	1
9678	ぐらい	1
4169	ぐらぐら	4
7028	ぐる	4
1164	ぐるぐる	5
13469	ぐるみ	1
2739	ぐるり	1
1292	ぐれ	2
5206	ぐんぐん	1
2573	け	38
8123	けち	3
12396	けっして	2
1293	けども	2
1551	けら	3
12513	けり	3
7696	けりゃ	1
821	ける	3
7690	けれ	3
4775	けれど	5
1220	けれども	34
2678	けろけろ	1
1019	げ	12
2641	げらげら	2
7751	げん	2
3794	こ	18
7790	こい	6
3695	こいつ	18
238	こう	106
7795	こうして	5
4803	こうっ	1
6984	こか	1
1306	こきゃ	1
7788	こく	1
31	ここ	95
9626	ここいら	2
1839	こし	5
3061	こしらえ	15
10758	こしらえれ	1
8411	こじ開ける	1
8117	こす	2
9402	こすっ	1
9376	こすり	4
8253	こせこせ	1
8250	こせつい	1
5464	こそ	24
1129	こそばゆき	1
12070	こたえる	1
2509	こちら	18
10516	こっそり	1
937	こっち	39
1778	こと	20
2268	ことごとく	22
532	ことに	40
2159	こないだ	11
9984	こなし	1
52	この	608
11667	このほど	1
5497	この世	5
356	この間	24
11779	こびりつい	1
9410	こびりつく	1
1599	こぼし	3
3477	こぼす	2
12037	こぼれ	4
12520	こぼれ落ちる	1
10905	こま	1
12294	こまっ	1
13045	こめ	1
10578	こら	2
12713	こらし	1
5631	こり	1
818	こりゃ	31
135	これ	396
285	これから	48
5450	これしき	3
6394	これぞ	1
879	これら	8
10265	ころがり	4
10702	ころがる	1
1235	ころころ	1
9898	ころばし	1
1295	こん	5
10967	こんど	1
108	こんな	116
456	こんなに	11
12749	こんもり	1
12847	こん度	1
562	ご	39
13151	ごく	1
2178	ござい	80
11658	ござっ	1
3722	ござら	3
10559	ござる	2
3661	ござん	11
12574	ごしごし	1
4594	ごたごた	3
9605	ごちゃごちゃ	1
9262	ごつごつ	1
5810	ごと	8
867	ごとき	33
414	ごとく	196
4831	ごとし	3
9043	ごねる	1
11490	ごまかし	4
11497	ごまかす	2
11754	ごみ	1
9362	ごろ	1
3263	ごろごろ	5
12097	ごろつい	1
5698	ごろつき	3
8604	ごろりと	2
9258	ご免	4
8794	ご存じ	1
8815	ご無沙汰	1
10651	ご用	1
7287	ご苦労	2
2180	ご覧	4
12010	ご飯	1
96	さ	489
2984	さあ	76
5207	さい	2
183	さえ	109
9140	さがし	1
3589	さき	4
6427	さげ	5
7643	さげる	1
13545	ささ	1
4896	さし	3
7506	さして	1
7950	さしゃ	1
13536	さす	1
1208	さすが	35
4287	さすっ	2
11945	させ	1
11980	させる	1
3699	さぞ	5
11084	さぞかし	2
897	さっき	25
3640	さっさと	4
2253	さっぱり	5
286	さて	20
10919	さておい	1
7539	さては	1
6786	さばけ	1
4509	さほど	3
1833	さま	17
9575	さまざま	1
539	さまし	1
4114	さめ	4
1199	さも	12
4295	さよう	7
2826	さようなら	2
5208	さよなら	1
5516	さよの	1
227	さらさら	1
10003	さらに	5
162	さり	4
10955	さる	1
880	され	7
319	さん	235
5508	さんざん	2
1156	ざ	7
2855	ざあ	6
8264	ざあざあ	1
9691	ざあと	1
12848	ざっと	2
6638	ざどうだって	1
9619	ざぶざぶ	1
13247	ざぶりざぶりと	1
7724	ざり	5
554	ざる	99
10504	ざれ	3
7711	ざんす	2
20	し	1953
1994	しい	12
12529	しいて	1
4271	しか	23
9062	しかく	3
7013	しかけ	1
62	しかし	185
10512	しかして	6
6593	しかしながら	3
2232	しかっ	1
4653	しかめ	3
40	しかも	30
1768	しから	14
5884	しかり	1
